Measure,ZipCode,Ratio,TotalPopulation
Obesity among adults,43842,0.393,345
Current asthma among adults,43843,0.116,1449
Visits to doctor for routine checkup within the past year among adults,43843,0.759,1449
Depression among adults,43843,0.276,1449
Housing insecurity in the past 12 months among adults,43843,0.093,1449
Feeling socially isolated among adults,43843,0.321,1449
Obesity among adults,43843,0.38,1449
Current asthma among adults,43844,0.118,3778
Visits to doctor for routine checkup within the past year among adults,43844,0.763,3778
Depression among adults,43844,0.269,3778
Housing insecurity in the past 12 months among adults,43844,0.12,3778
Feeling socially isolated among adults,43844,0.323,3778
Obesity among adults,43844,0.402,3778
Current asthma among adults,43845,0.115,4803
Visits to doctor for routine checkup within the past year among adults,43845,0.782,4803
Depression among adults,43845,0.265,4803
Housing insecurity in the past 12 months among adults,43845,0.119,4803
Feeling socially isolated among adults,43845,0.311,4803
Obesity among adults,43845,0.417,4803
Current asthma among adults,43901,0.111,2082
Visits to doctor for routine checkup within the past year among adults,43901,0.817,2082
Depression among adults,43901,0.253,2082
Housing insecurity in the past 12 months among adults,43901,0.099,2082
Feeling socially isolated among adults,43901,0.316,2082
Obesity among adults,43901,0.398,2082
Current asthma among adults,43902,0.119,200
Visits to doctor for routine checkup within the past year among adults,43902,0.795,200
Depression among adults,43902,0.278,200
Housing insecurity in the past 12 months among adults,43902,0.122,200
Feeling socially isolated among adults,43902,0.358,200
Obesity among adults,43902,0.438,200
Current asthma among adults,43903,0.117,1937
Visits to doctor for routine checkup within the past year among adults,43903,0.801,1937
Depression among adults,43903,0.274,1937
Housing insecurity in the past 12 months among adults,43903,0.116,1937
Feeling socially isolated among adults,43903,0.332,1937
Obesity among adults,43903,0.405,1937
Current asthma among adults,43905,0.116,474
Visits to doctor for routine checkup within the past year among adults,43905,0.79,474
Depression among adults,43905,0.277,474
Housing insecurity in the past 12 months among adults,43905,0.097,474
Feeling socially isolated among adults,43905,0.34,474
Obesity among adults,43905,0.403,474
Current asthma among adults,43906,0.123,7952
Visits to doctor for routine checkup within the past year among adults,43906,0.791,7952
Depression among adults,43906,0.287,7952
Housing insecurity in the past 12 months among adults,43906,0.129,7952
Feeling socially isolated among adults,43906,0.349,7952
Obesity among adults,43906,0.449,7952
Current asthma among adults,43907,0.117,5369
Visits to doctor for routine checkup within the past year among adults,43907,0.8,5369
Depression among adults,43907,0.255,5369
Housing insecurity in the past 12 months among adults,43907,0.106,5369
Feeling socially isolated among adults,43907,0.326,5369
Obesity among adults,43907,0.416,5369
Current asthma among adults,43908,0.121,1321
Visits to doctor for routine checkup within the past year among adults,43908,0.8,1321
Depression among adults,43908,0.278,1321
Housing insecurity in the past 12 months among adults,43908,0.132,1321
Feeling socially isolated among adults,43908,0.335,1321
Obesity among adults,43908,0.42,1321
Current asthma among adults,43909,0.103,78
Visits to doctor for routine checkup within the past year among adults,43909,0.799,78
Depression among adults,43909,0.247,78
Housing insecurity in the past 12 months among adults,43909,0.106,78
Feeling socially isolated among adults,43909,0.336,78
Obesity among adults,43909,0.413,78
Current asthma among adults,43910,0.113,3379
Visits to doctor for routine checkup within the past year among adults,43910,0.821,3379
Depression among adults,43910,0.256,3379
Housing insecurity in the past 12 months among adults,43910,0.093,3379
Feeling socially isolated among adults,43910,0.305,3379
Obesity among adults,43910,0.4,3379
Current asthma among adults,43912,0.115,6060
Visits to doctor for routine checkup within the past year among adults,43912,0.794,6060
Depression among adults,43912,0.27,6060
Housing insecurity in the past 12 months among adults,43912,0.109,6060
Feeling socially isolated among adults,43912,0.345,6060
Obesity among adults,43912,0.426,6060
Current asthma among adults,43913,0.118,1322
Visits to doctor for routine checkup within the past year among adults,43913,0.818,1322
Depression among adults,43913,0.271,1322
Housing insecurity in the past 12 months among adults,43913,0.116,1322
Feeling socially isolated among adults,43913,0.319,1322
Obesity among adults,43913,0.423,1322
Current asthma among adults,43914,0.126,66
Visits to doctor for routine checkup within the past year among adults,43914,0.781,66
Depression among adults,43914,0.297,66
Housing insecurity in the past 12 months among adults,43914,0.134,66
Feeling socially isolated among adults,43914,0.32,66
Obesity among adults,43914,0.453,66
Current asthma among adults,43915,0.109,1383
Visits to doctor for routine checkup within the past year among adults,43915,0.8,1383
Depression among adults,43915,0.255,1383
Housing insecurity in the past 12 months among adults,43915,0.096,1383
Feeling socially isolated among adults,43915,0.321,1383
Obesity among adults,43915,0.412,1383
Current asthma among adults,43917,0.118,2647
Visits to doctor for routine checkup within the past year among adults,43917,0.812,2647
Depression among adults,43917,0.27,2647
Housing insecurity in the past 12 months among adults,43917,0.114,2647
Feeling socially isolated among adults,43917,0.327,2647
Obesity among adults,43917,0.407,2647
Current asthma among adults,43920,0.12,21662
Visits to doctor for routine checkup within the past year among adults,43920,0.801,21662
Depression among adults,43920,0.272,21662
Housing insecurity in the past 12 months among adults,43920,0.134,21662
Feeling socially isolated among adults,43920,0.324,21662
Obesity among adults,43920,0.481,21662
Current asthma among adults,43925,0.113,119
Visits to doctor for routine checkup within the past year among adults,43925,0.845,119
Depression among adults,43925,0.25,119
Housing insecurity in the past 12 months among adults,43925,0.096,119
Feeling socially isolated among adults,43925,0.308,119
Obesity among adults,43925,0.391,119
Current asthma among adults,43926,0.117,247
Visits to doctor for routine checkup within the past year among adults,43926,0.822,247
Depression among adults,43926,0.268,247
Housing insecurity in the past 12 months among adults,43926,0.111,247
Feeling socially isolated among adults,43926,0.313,247
Obesity among adults,43926,0.412,247
Current asthma among adults,43928,0.117,235
Visits to doctor for routine checkup within the past year among adults,43928,0.805,235
Depression among adults,43928,0.276,235
Housing insecurity in the past 12 months among adults,43928,0.079,235
Feeling socially isolated among adults,43928,0.327,235
Obesity among adults,43928,0.413,235
Current asthma among adults,43930,0.119,681
Visits to doctor for routine checkup within the past year among adults,43930,0.808,681
Depression among adults,43930,0.272,681
Housing insecurity in the past 12 months among adults,43930,0.12,681
Feeling socially isolated among adults,43930,0.317,681
Obesity among adults,43930,0.435,681
Current asthma among adults,43931,0.103,168
Visits to doctor for routine checkup within the past year among adults,43931,0.824,168
Depression among adults,43931,0.231,168
Housing insecurity in the past 12 months among adults,43931,0.082,168
Feeling socially isolated among adults,43931,0.302,168
Obesity among adults,43931,0.394,168
Current asthma among adults,43932,0.12,970
Visits to doctor for routine checkup within the past year among adults,43932,0.804,970
Depression among adults,43932,0.281,970
Housing insecurity in the past 12 months among adults,43932,0.123,970
Feeling socially isolated among adults,43932,0.329,970
Obesity among adults,43932,0.415,970
Current asthma among adults,43933,0.112,1969
Visits to doctor for routine checkup within the past year among adults,43933,0.801,1969
Depression among adults,43933,0.266,1969
Housing insecurity in the past 12 months among adults,43933,0.094,1969
Feeling socially isolated among adults,43933,0.334,1969
Obesity among adults,43933,0.414,1969
Current asthma among adults,43934,0.118,227
Visits to doctor for routine checkup within the past year among adults,43934,0.804,227
Depression among adults,43934,0.274,227
Housing insecurity in the past 12 months among adults,43934,0.103,227
Feeling socially isolated among adults,43934,0.344,227
Obesity among adults,43934,0.42,227
Current asthma among adults,43935,0.126,7968
Visits to doctor for routine checkup within the past year among adults,43935,0.792,7968
Depression among adults,43935,0.294,7968
Housing insecurity in the past 12 months among adults,43935,0.142,7968
Feeling socially isolated among adults,43935,0.355,7968
Obesity among adults,43935,0.455,7968
Current asthma among adults,43938,0.12,5196
Visits to doctor for routine checkup within the past year among adults,43938,0.811,5196
Depression among adults,43938,0.272,5196
Housing insecurity in the past 12 months among adults,43938,0.122,5196
Feeling socially isolated among adults,43938,0.322,5196
Obesity among adults,43938,0.415,5196
Current asthma among adults,43939,0.114,436
Visits to doctor for routine checkup within the past year among adults,43939,0.804,436
Depression among adults,43939,0.264,436
Housing insecurity in the past 12 months among adults,43939,0.102,436
Feeling socially isolated among adults,43939,0.312,436
Obesity among adults,43939,0.403,436
Current asthma among adults,43940,0.122,321
Visits to doctor for routine checkup within the past year among adults,43940,0.813,321
Depression among adults,43940,0.277,321
