Id,ZipCode,Longitude,Latitude
100298,19130,-75.1658,39.97174
100299,19126,-75.147492,40.063721
100300,19139,-75.238312,39.961691
100301,19132,-75.178751,39.997081
100302,19142,-75.227062,39.92451
100303,19148,-75.17088,39.91793
100304,19129,-75.19305,40.00931
100305,19143,-75.242202,39.955051
100306,19144,-75.17751,40.03277
100307,19118,-75.20846,40.07744
100308,19139,-75.23205,39.95555
100309,19141,-75.141532,40.02855
100310,19147,-75.165652,39.932811
100311,19147,-75.14432,39.9346
100312,19133,-75.140731,39.989861
100313,19140,-75.151932,40.009351
100314,19139,-75.23104,39.96054
100315,19139,-75.23282,39.95523
100316,19139,-75.22495,39.96099
100317,19139,-75.225792,39.955711
100318,19140,-75.15259,40.00765
100319,19128,-75.243571,40.059191
100320,19144,-75.172205,40.017974
100321,19121,-75.170452,39.979111
100322,19152,-75.052871,40.05767
100323,19135,-75.04276,40.02458
100324,19135,-75.044112,40.025521
100325,19144,-75.168541,40.02588
100326,19141,-75.142522,40.048921
100327,19142,-75.23516,39.92715
100328,19146,-75.17215,39.94055
100329,19151,-75.26624,39.97575
100330,19151,-75.242102,39.975721
100331,19139,-75.232612,39.959421
100332,19120,-75.12476,40.02251
100333,19124,-75.08489,40.02728
100334,19147,-75.16098,39.94077
100335,19147,-75.155002,39.942361
100336,19141,-75.13978,40.04136
100337,19140,-75.148172,40.006111
100338,19131,-75.230492,39.9862
100339,19145,-75.171861,39.929781
100340,19150,-75.17263,40.08012
100341,19124,-75.06448,40.01517
100342,19135,-75.04354,40.0256
100343,19144,-75.17321,40.03492
100344,19148,-75.171122,39.91779
100345,19120,-75.128022,40.03423
100346,19120,-75.12386,40.023903
100347,19141,-75.1448242,40.0403095
100348,19141,-75.142652,40.04833
100349,19128,-75.23565,40.05428
100350,19148,-75.15903,39.92188
100351,19120,-75.123181,40.032201
100352,19136,-75.03547,40.03322
100353,19151,-75.25255,39.97694
100354,19138,-75.15379,40.04835
100355,19144,-75.17527,40.04459
100356,19114,-74.98755,40.06731
100357,19106,-75.15286,39.95387
100358,19103,-75.17643,39.95264
100359,19102,-75.16515,39.95594
100360,19106,-75.15141,39.94824
100361,19148,-75.16043,39.92588
100362,19132,-75.17791,40.00338
100363,19132,-75.15537,39.9875
100364,19149,-75.07481,40.04248
100365,19149,-75.07685,40.02758
100366,19104,-75.19383,39.96357
100367,19120,-75.12463,40.03955
100368,19149,-75.050011,40.042
100369,19150,-75.157961,40.072611
100370,19111,-75.091572,40.05374
100371,19139,-75.22461,39.96227
100372,19132,-75.16493,39.98891
100373,19145,-75.18401,39.92738
100374,19102,-75.165331,39.952582
100375,19145,-75.17309,39.92597
100376,19131,-75.228604,39.977533
100377,19149,-75.07174,40.03421
100378,19111,-75.06821,40.08155
100379,19124,-75.080532,40.02019
100380,19144,-75.16875,40.02578
100381,19131,-75.226701,39.975911
100382,19143,-75.234182,39.94077
100383,19145,-75.169299,39.926299
100384,19106,-75.15271,39.9514
100385,19139,-75.22223,39.95435
100386,19121,-75.169791,39.977971
100387,19124,-75.08615,40.01441
100388,19132,-75.173802,39.999681
100389,19136,-75.03082,40.04072
100390,19140,-75.138122,40.010861
100391,19124,-75.08545,40.02693
100392,19139,-75.22492,39.96571
100393,19147,-75.15199,39.94094
